"PopID" "X_Pops" "Y_Pops"
"1" 1 314 345
"2" 2 307 330
"3" 3 195 27
"4" 4 34 357
"5" 5 5 84
"6" 6 328 96
"7" 7 176 26
"8" 8 225 231
"9" 9 178 110
"10" 10 253 175
"11" 11 10 88
"12" 12 173 329
"13" 13 77 158
"14" 14 275 112
"15" 15 345 44
"16" 16 130 191
"17" 17 271 205
"18" 18 84 94
"19" 19 153 8
"20" 20 170 137
"21" 21 100 277
"22" 22 180 331
"23" 23 150 223
"24" 24 25 237
"25" 25 19 56
"26" 26 323 164
"27" 27 303 345
"28" 28 83 156
"29" 29 88 126
"30" 30 194 211
"31" 31 187 220
"32" 32 81 95
"33" 33 51 303
"34" 34 342 57
"35" 35 331 164
"36" 36 282 43
"37" 37 129 290
"38" 38 270 306
"39" 39 130 4
"40" 40 108 136
"41" 41 82 344
"42" 42 181 74
"43" 43 157 21
"44" 44 161 351
"45" 45 30 22
"46" 46 153 326
"47" 47 15 256
"48" 48 220 94
"49" 49 189 55
"50" 50 120 22
"51" 51 249 69
"52" 52 19 358
"53" 53 273 68
"54" 54 12 134
"55" 55 95 83
"56" 56 119 8
"57" 57 191 235
"58" 58 230 310
"59" 59 120 196
"60" 60 145 285
"61" 61 173 262
"62" 62 27 135
"63" 63 308 280
"64" 64 128 162
"65" 65 105 319
"66" 66 86 61
"67" 67 346 289
"68" 68 207 238
"69" 69 287 129
"70" 70 334 228
"71" 71 158 344
"72" 72 33 164
"73" 73 80 353
"74" 74 161 20
"75" 75 228 170
